listing_id,car_key,date_key,location_key,ask_price,mileage,car_age
2059,729,20260324,33,1290000.0,117461,5
2060,730,20250905,33,1100000.0,99360,5
2061,550,20250301,33,819000.0,57500,7
2062,717,20260601,33,1190000.0,107500,5
2063,731,20250307,33,1350000.0,22500,1
2064,365,20260805,33,1090000.0,22500,4
2065,642,20260723,33,1090000.0,22500,4
2066,239,20250208,33,699000.0,182500,9
2067,615,20250506,33,699000.0,182500,9
2068,671,20240306,33,1059000.0,57500,4
2069,277,20260630,33,399000.0,137500,10
2070,732,20250125,33,890000.0,127500,7
2071,733,20240323,33,1790000.0,127500,6
2072,687,20260929,33,799000.0,157500,6
2073,716,20250425,33,1090000.0,197500,5
2074,535,20260215,33,529000.0,59019,6
2075,854,20260223,33,529000.0,59019,6
2076,734,20251013,33,699000.0,78284,17
2077,244,20250606,33,990000.0,37500,3
2078,735,20240723,33,990000.0,37500,3
2079,732,20260111,33,890000.0,127500,7
2080,719,20241114,33,899000.0,67500,5
2081,736,20241004,33,285000.0,137500,16
2082,3,20260620,33,1090000.0,32500,1
2083,737,20240527,33,419000.0,282500,15
2084,738,20260216,33,959000.0,109953,4
2085,773,20250222,33,959000.0,109953,4
2086,739,20250621,33,899000.0,82500,5
2087,385,20250126,33,659000.0,147500,7
2088,299,20260728,33,559000.0,152500,5
2089,620,20240829,33,799000.0,135723,6
2090,1271,20260925,33,799000.0,135723,6
2091,202,20240830,33,929000.0,96994,5
2092,740,20260902,33,929000.0,96994,5
2093,741,20251114,33,799000.0,79180,5
2094,742,20250810,33,2190000.0,5615,2
2095,314,20250908,33,379000.0,77500,8
2096,695,20240126,33,379000.0,77500,8
2097,743,20260512,33,1190000.0,53949,3
2098,1040,20240319,33,1190000.0,53949,3
2099,744,20261008,33,3288000.0,60000,10
2100,745,20240507,33,899000.0,120000,9
2101,390,20250216,33,2488000.0,156000,5
2102,330,20240516,33,1888000.0,147000,7
2103,746,20250701,33,495000.0,187500,5
2104,836,20250122,33,495000.0,187500,5
2105,613,20250724,33,378000.0,72500,6
2106,27,20261012,33,358000.0,282500,6
2107,163,20250224,33,358000.0,282500,6
2108,56,20240520,33,436000.0,92500,2
2109,219,20240220,33,436000.0,92500,2
2110,747,20260913,33,624000.0,132500,12
2111,600,20260717,33,258000.0,561396,13
2112,397,20251023,33,565000.0,137500,10
2113,276,20241231,33,499000.0,137500,10
2114,748,20260626,33,444000.0,82500,9
2115,1236,20260924,33,444000.0,82500,9
2116,434,20260503,33,598000.0,207500,6
2117,749,20240914,33,145000.0,162500,12
2118,135,20240214,33,385000.0,187500,7
2119,698,20240925,33,385000.0,187500,7
2120,372,20251102,33,659000.0,157500,9
2121,429,20261015,33,659000.0,157500,9
2122,157,20260506,33,235000.0,292500,11
2123,1044,20240524,33,235000.0,292500,11
2124,750,20240822,33,255000.0,212500,12
2125,279,20251121,33,419000.0,162500,8
2126,611,20251220,33,419000.0,162500,8
2127,314,20241218,33,429000.0,207500,8
2128,695,20260920,33,429000.0,207500,8
2129,637,20241001,33,389000.0,77500,7
2130,146,20260628,33,369000.0,152500,8
2131,277,20250315,33,339000.0,212500,10
2132,751,20261222,33,359000.0,67500,2
2133,474,20260521,33,348000.0,92500,7
2134,482,20251012,33,335000.0,117500,8
2135,154,20260731,33,168000.0,152500,9
2136,752,20240203,33,199000.0,262500,10
2137,125,20251205,33,329000.0,122500,7
2138,196,20260516,33,329000.0,122500,7
2139,184,20260911,33,349000.0,182500,12
2140,753,20260411,33,349000.0,182500,12
2141,11,20250406,33,729000.0,67500,3
2142,251,20240321,33,729000.0,67500,3
2143,40,20241117,33,479000.0,2500,7
2144,886,20250218,33,479000.0,2500,7
2145,754,20260918,33,349000.0,200000,11
2146,5,20240708,33,15790000.0,22500,10
2147,755,20250126,33,598000.0,2500,33
2148,756,20240616,33,1890000.0,22500,33
2149,757,20251025,33,1090000.0,2500,25
2150,280,20250115,33,518000.0,97500,5
2151,214,20260616,33,519000.0,122500,6
2152,667,20260513,33,519000.0,122500,6
2153,562,20240302,33,399000.0,92500,10
2154,957,20250611,33,399000.0,92500,10
2155,191,20260511,33,449000.0,42500,2
2156,522,20240529,33,449000.0,42500,2
2157,277,20240425,33,479000.0,145458,10
2158,168,20260403,33,379000.0,75428,4
2159,537,20240305,33,379000.0,75428,4
2160,690,20241105,33,429000.0,150959,7
2161,758,20251206,33,429000.0,150959,7
2162,1214,20260503,33,429000.0,150959,7
2163,62,20261020,33,339000.0,87500,5
2164,11,20241101,33,649000.0,87500,3
2165,251,20260522,33,649000.0,87500,3
2166,315,20240617,33,449000.0,156335,5
2167,759,20261027,33,449000.0,156335,5
2168,524,20250810,33,409000.0,12500,2
2169,42,20260131,33,599000.0,177500,8
2170,11,20241212,33,649000.0,102500,3
2171,251,20260812,33,649000.0,102500,3
